Radius,Simulated,Theoretical,STDEV
627,238.416,221.462,204.613
628,230.479,222.169,195.551
629,221.574,222.878,178.5
630,223.414,223.587,178.106
631,229.593,224.297,194.838
632,216.193,225.009,178.355
633,206.381,225.721,160.963
634,233.658,226.435,188.591
635,236.078,227.15,176.375
636,226.774,227.866,171.568
637,249.458,228.583,202.93
638,246.626,229.301,213.841
639,235.37,230.021,192.463
640,229.149,230.741,183.678
641,236.125,231.463,187.367
642,228.672,232.185,188.127
643,216.436,232.909,173.987
644,222.582,233.634,173.837
645,248.704,234.36,198.618
646,234.315,235.088,169.669
647,237.767,235.816,193.225
648,261.265,236.546,214.208
649,251.901,237.276,209.228
650,235.594,238.008,195.039
651,239.679,238.741,190.051
652,240.52,239.475,195.931
653,226.354,240.21,181.707
654,218.523,240.946,174.049
655,248.998,241.684,207.227
656,250.902,242.422,190.455
657,244.765,243.162,191.261
658,273.031,243.903,221.328
659,248.237,244.645,209.645
660,248.24,245.388,198.795
661,239.926,246.132,190.987
662,250.531,246.877,207.065
663,232.814,247.624,185.839
664,230.953,248.371,186.146
665,252.773,249.12,200.12
666,252.745,249.87,198.768
667,249.612,250.621,195.861
668,278.21,251.373,227.457
669,255.236,252.126,209.83
670,252.752,252.88,207.644
671,268.239,253.636,213.722
672,245.083,254.392,197.417
673,243.826,255.15,197.278
674,243.314,255.909,193.284
675,262.045,256.669,205.249
676,252.713,257.43,194.873
677,268.844,258.192,215.33
678,277.212,258.955,229.274
679,263.199,259.72,222.471
680,256.088,260.485,193.807
681,260.624,261.252,219.297
682,257.44,262.02,206.47
683,235.9,262.789,189.333
684,274.974,263.559,210.702
685,261.781,264.33,199.11
686,269.413,265.102,208.307
687,301.106,265.876,255.694
688,266.308,266.65,221.225
689,269.624,267.426,205.307
690,268.853,268.203,223.365
691,273.353,268.981,225.032
692,243.577,269.76,195.906
693,270.437,270.54,213.959
694,278.313,271.321,210.369
695,272.155,272.104,213.345
696,307.293,272.887,260.094
697,273.854,273.672,222.67
698,279.287,274.458,210.843
699,277.002,275.245,226.223
700,273.963,276.033,222.893
701,247.966,276.822,199.875
702,288.593,277.613,223.654
703,277.561,278.404,209.304
704,289.847,279.197,235.227
705,299.354,279.991,253.646
706,292.553,280.785,235.977
707,277.239,281.581,205.943
708,290.02,282.378,238.054
709,274.362,283.177,223.906
710,269.306,283.976,218.78
711,290.876,284.777,218.359
712,271.318,285.578,206.584
713,313.973,286.381,247.494
714,295.184,287.185,252.41
715,296.958,287.99,230.472
716,301.742,288.796,241.692
717,286.053,289.603,225.731
